facility ID,facility name,,telehealth clinic only,full address,street address,city,state,zip code,latitude,longitude,phone number,website,open in 2021,provided abortions in 2021,provided MAB in 2021,MAB gestational limit in 2021,median state cost for medication abortion in 2021,provided procedural abortion in 2021,procedural abortion gestational limit in 2021,median state cost for first trimester procedural abortion in 2021,median state cost for second trimester procedural abortion in 2021,date facility opened,facility closure date/info,date of last facility update
1,A Affordable Women's Medical Center,,,"7007 N. Freeway, Ste. 225, Houston, TX 77076","7007 N. Freeway, Ste. 225",Houston,TX,77076,29.8556,-95.3891,(713) 535-9298,,no,no,,,650,,,715,850,,2014,12/29/21
2,A Capital Women's Health Clinic,,,"1511 Starling Drive, Richmond, VA 23229",1511 Starling Drive,Richmond,VA,23229,37.6052,-77.5686,(804) 754-1928,http://www.capitalwomenshealth.com/,yes,yes,Yes,11,433,Yes,13.6,450,850,,,12/21/21 (phone)
3,A Caring Choice for Women,,,,,Parker,CO,80134,39.5126,-104.797,(303) 840-5700,,no,no,,,458,,,747,2100,,,7/14/21
4,A Choice For Women,,,"16601 NE 19th Ave, North Miami Beach, FL 33162",16601 NE 19th Ave,North Miami Beach,FL,33162,25.9288,-80.162,(305) 630-3363,http://www.achoiceforwomen.com/,yes,yes,Yes,9,543,Yes,20,550,650,,,12/20/21
5,A GYN Diagnostic Center,,,"375 E. 49th St. Suite #2, Hialeah, FL 33013",375 E. 49th St. Suite #2,Hialeah,FL,33013,25.8673,-80.2752,(305) 824-8816,http://www.agyndiagnostic.com/,yes,yes,Yes,8,543,Yes,22,550,650,,,12/20/21
6,A Hallmark Women's Clinic: Fayetteville,,,"1919 Gillespie St., Fayetteville, NC 28306",1919 Gillespie St.,Fayetteville,NC,28306,35.024,-78.8943,(910) 323-3792,http://www.ahallmarkwomensclinic.com/,yes,yes,Yes,10,425,Yes,20,425,465,,,12/30/21
7,A Hallmark Women's Clinic: Winston-Salem,,,"491 N Cleveland Ave., Winston-Salem, NC 27101",491 N Cleveland Ave.,Winston-Salem,NC,27101,36.1004,-80.2311,(336) 725-4924,http://www.ahallmarkwomensclinic.com/,yes,yes,Yes,10.2,425,No,,425,465,,,12/30/21
8,A Hialeah Women's Care Center,,,"952 East 25th Street, Hialeah, FL 33013",952 East 25th Street,Hialeah,FL,33013,25.8452,-80.2631,(305) 836-9701,http://ahialeahwomanscarecenter.com/,yes,yes,Yes,8,543,Yes,13,550,650,,,12/20/21
9,A Preferred Women's Health Center: Atlanta Area,,,"531 Forest Parkway, Suite 100, Forest Park, GA 30297","531 Forest Parkway, Suite 100",Forest Park,GA,30297,33.6216,-84.372,(404) 758-9900,http://www.apwhc.com/,yes,yes,Yes,10,476,Yes,16.6,485,,,,10/01/2021 (phone)
10,A Preferred Women's Health Center: Augusta,,,"2903 Professional Parkway, Augusta, GA 30907",2903 Professional Parkway,Augusta,GA,30907,33.5,-82.0805,(706) 228-4545,http://www.apwhc.com/,yes,yes,Yes,10,476,Yes,16.6,485,,,,10/01/2021 (phone)
11,A Preferred Women's Health Center: Charlotte,,,"3220 Latrobe Dr., Charlotte, NC 28211",3220 Latrobe Dr.,Charlotte,NC,28211,35.1987,-80.8032,(704) 665-4120,http://www.apwhc.com/,yes,yes,Yes,10,425,Yes,16.6,425,465,,,12/29/21
12,A Preferred Women's Health Center: Raleigh,,,"1604 Jones Franklin Rd., Raleigh, NC 27606",1604 Jones Franklin Rd.,Raleigh,NC,27606,35.7593,-78.7286,(919) 854-7888,http://www.apwhc.com/,yes,yes,Yes,10,425,Yes,16.6,425,465,,,12/29/21
13,A Tidewater Women's Health Clinic,,,"891 Norfolk Square, Norfolk, VA 23502",891 Norfolk Square,Norfolk,VA,23502,36.8529,-76.233,(757) 461-0011,https://yourchoice-va.com/in-clinic-abortion,yes,yes,Yes,11,433,Yes,15.6,450,850,,,12/21/21 (phone)
