BAS ID,GEOID for TIGERweb,Name,MTDB Expanded Lsad,Tribe Name,State FIPS,State Abbreviation,County FIPS,County Name,ANSI Code
49900304725,4725,Yerington Colony,Colony,Yerington Paiute Tribe of the Yerington Colony & Campbell Ranch,32,NV,019,Lyon,00848133
49900330510,0510,Carson Colony,Colony,Washoe Tribe,32,NV,510,Carson City,00859157
49900330940,0940,Dresslerville Colony,Colony,Washoe Tribe,32,NV,005,Douglas,00862214
49900340510,0510,Carson Colony,Colony,Washoe Tribe of Nevada & California (Carson Colony),32,NV,510,Carson City,00859157
49900610940,0940,Dresslerville Colony,Colony,Washoe Tribe of Nevada & California (Dresslerville Colony),32,NV,005,Douglas,00862214
49900661005,1005,Elko Colony,Colony,Te-Moak Tribe of Western Shoshone Indians (Elko Band),32,NV,007,Elko,00856239
49900701070,1070,Fallon Paiute-Shoshone Colony,Colony,Paiute-Shoshone Tribe of the Fallon Reservation and Colony,32,NV,001,Churchill,00850495
49900701070,1070,Fallon Paiute-Shoshone Colony,Colony,Paiute-Shoshone Tribe of the Fallon Reservation and Colony,32,NV,019,Lyon,00850495
49902884580,4580,Wells Colony,Colony,Te-Moak Tribe of Western Shoshone Indians (Wells Band),32,NV,007,Elko,00849846
49900333980,3980,Stewart Community,Community,Washoe Tribe,32,NV,510,Carson City,02419480
49900333980,3980,Stewart Community,Community,Washoe Tribe,32,NV,005,Douglas,02419480
49900334665,4665,Woodfords Community,Community,Washoe Tribe,06,CA,003,Alpine,01985241
49900741135,1135,Forest County Potawatomi Community,Community,"Forest County Potawatomi Community, Wisconsin",55,WI,039,Fond du Lac,02418936
49900741135,1135,Forest County Potawatomi Community,Community,"Forest County Potawatomi Community, Wisconsin",55,WI,041,Forest,02418936
49900741135,1135,Forest County Potawatomi Community,Community,"Forest County Potawatomi Community, Wisconsin",55,WI,083,Oconto,02418936
49900741135,1135,Forest County Potawatomi Community,Community,"Forest County Potawatomi Community, Wisconsin",55,WI,079,Milwaukee,02418936
49900901365,1365,Grand Ronde Community,Community,Confederated Tribes of the Grand Ronde Community,41,OR,039,Lane,02418950
49900901365,1365,Grand Ronde Community,Community,Confederated Tribes of the Grand Ronde Community,41,OR,053,Polk,02418950
49900901365,1365,Grand Ronde Community,Community,Confederated Tribes of the Grand Ronde Community,41,OR,071,Yamhill,02418950
49902403680,3680,Shakopee Mdewakanton Sioux Community,Community,Shakopee Mdewakanton Sioux Community of Minnesota,46,SD,103,Pennington,00649741
49902403680,3680,Shakopee Mdewakanton Sioux Community,Community,Shakopee Mdewakanton Sioux Community of Minnesota,27,MN,139,Scott,00649741
49902493885,3885,Sokaogon Chippewa Community,Community,"Sokaogon Chippewa Community, Wisconsin",55,WI,041,Forest,01577206
49902563980,3980,Stewart Community,Community,Washoe Tribe of Nevada & California (Stewart Community),32,NV,005,Douglas,02419480
49902563980,3980,Stewart Community,Community,Washoe Tribe of Nevada & California (Stewart Community),32,NV,510,Carson City,02419480
