,year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
50524,2020,ALABAMA,AL,AUTAUGA,1001.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,7503,27770,20220315,TOTAL
50525,2020,ALABAMA,AL,AUTAUGA,1001.0,US PRESIDENT,OTHER,OTHER,429,27770,20220315,TOTAL
50526,2020,ALABAMA,AL,AUTAUGA,1001.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,19838,27770,20220315,TOTAL
50527,2020,ALABAMA,AL,BALDWIN,1003.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,24578,109679,20220315,TOTAL
50528,2020,ALABAMA,AL,BALDWIN,1003.0,US PRESIDENT,OTHER,OTHER,1557,109679,20220315,TOTAL
50529,2020,ALABAMA,AL,BALDWIN,1003.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,83544,109679,20220315,TOTAL
50530,2020,ALABAMA,AL,BARBOUR,1005.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4816,10518,20220315,TOTAL
50531,2020,ALABAMA,AL,BARBOUR,1005.0,US PRESIDENT,OTHER,OTHER,80,10518,20220315,TOTAL
50532,2020,ALABAMA,AL,BARBOUR,1005.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,5622,10518,20220315,TOTAL
50533,2020,ALABAMA,AL,BIBB,1007.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1986,9595,20220315,TOTAL
50534,2020,ALABAMA,AL,BIBB,1007.0,US PRESIDENT,OTHER,OTHER,84,9595,20220315,TOTAL
50535,2020,ALABAMA,AL,BIBB,1007.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,7525,9595,20220315,TOTAL
50536,2020,ALABAMA,AL,BLOUNT,1009.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2640,27588,20220315,TOTAL
50537,2020,ALABAMA,AL,BLOUNT,1009.0,US PRESIDENT,OTHER,OTHER,237,27588,20220315,TOTAL
50538,2020,ALABAMA,AL,BLOUNT,1009.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,24711,27588,20220315,TOTAL
50539,2020,ALABAMA,AL,BULLOCK,1011.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3446,4613,20220315,TOTAL
50540,2020,ALABAMA,AL,BULLOCK,1011.0,US PRESIDENT,OTHER,OTHER,21,4613,20220315,TOTAL
50541,2020,ALABAMA,AL,BULLOCK,1011.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1146,4613,20220315,TOTAL
50542,2020,ALABAMA,AL,BUTLER,1013.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3965,9488,20220315,TOTAL
50543,2020,ALABAMA,AL,BUTLER,1013.0,US PRESIDENT,OTHER,OTHER,65,9488,20220315,TOTAL
50544,2020,ALABAMA,AL,BUTLER,1013.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,5458,9488,20220315,TOTAL
50545,2020,ALABAMA,AL,CALHOUN,1015.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,15216,50983,20220315,TOTAL
50546,2020,ALABAMA,AL,CALHOUN,1015.0,US PRESIDENT,OTHER,OTHER,666,50983,20220315,TOTAL
50547,2020,ALABAMA,AL,CALHOUN,1015.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,35101,50983,20220315,TOTAL
50548,2020,ALABAMA,AL,CHAMBERS,1017.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,6365,15284,20220315,TOTAL
50549,2020,ALABAMA,AL,CHAMBERS,1017.0,US PRESIDENT,OTHER,OTHER,166,15284,20220315,TOTAL
